giver_orig,giver,giver_wiki,giver_name,WikidataID
"Mr. Nguyen Vu Tu, Director General, Department of External Relations, Ho Chi Minh City, Socialist Republic of Vietnam","Nguyen Vu Tu, Director General, Department of External Relations, Ho Chi Minh City, Socialist Republic of Vietnam",,Nguyen Vu Tu,
Government of the Republic of Cuba,Government of the Republic of Cuba,,Government of the Republic of Cuba,
Ambassador of the Union of Soviet Socialist Republics to the United States,Ambassador of the Union of Soviet Socialist Republics to the United States,,of the Union of Soviet Socialist Republics to the United States,
"His Excellency Chung Dong-young, Minister of Unification of the Republic of Korea","Chung Dong-young, Minister of Unification of the Republic of Korea",,Chung Dong-young,
"His Excellency Mevlüt Çavuşoğlu, Minister of Foreign Affairs of the Republic of Turkey","Mevlüt Çavuşoğlu, Minister of Foreign Affairs of the Republic of Turkey",,Mevlüt Çavuşoğlu,
"His Majesty Hamad bin Isa Al-Khalifa, King of the Kingdom of Bahrain","Hamad bin Isa Al-Khalifa, King of the Kingdom of Bahrain",,Hamad bin Isa Al-Khalifa,
"His Royal Highness Salman bin Hamad bin Isa Al Khalifa, Crown Prince of the Kingdom of Bahrain","Salman bin Hamad bin Isa Al Khalifa, Crown Prince of the Kingdom of Bahrain",,Salman bin Hamad bin Isa Al Khalifa,
"The G7 Hiroshima Foreign Ministerial Meeting Support and Promotion Committee, Japan","The G7 Hiroshima Foreign Ministerial Meeting Support and Promotion Committee, Japan",,The G7 Hiroshima Foreign Ministerial Meeting Support and Promotion Committee,
"His Majesty Salman bin Abdulaziz Al Saud, Custodian of the Two Holy Mosques, King of the Kingdom of Saudi Arabia","Salman bin Abdulaziz Al Saud, Custodian of the Two Holy Mosques, King of the Kingdom of Saudi Arabia",,Salman bin Abdulaziz Al Saud,
"His Excellency Lumdeg Purevsuren, Minister of Foreign Affairs of Mongolia","Lumdeg Purevsuren, Minister of Foreign Affairs of Mongolia",,Lumdeg Purevsuren,
The Association for South East Asian Nations (ASEAN) Organizing Committee,The Association for South East Asian Nations (ASEAN) Organizing Committee,,The Association for South East Asian Nations (ASEAN) Organizing Committee,
"His Excellency Sirojidin Aslov, Minister of Foreign Affairs of the Republic of Tajikistan","Sirojidin Aslov, Minister of Foreign Affairs of the Republic of Tajikistan",,Sirojidin Aslov,
"Professor Nuhu O. Yaqub, Vice Chancellor of the Sokoto State University of the Federal Republic of Nigeria","Professor Nuhu O. Yaqub, Vice Chancellor of the Sokoto State University of the Federal Republic of Nigeria",,Professor Nuhu O. Yaqub,
"His Excellency Sheikh Sabah Al-Khalid Al-Hamad Al-Sabah, First Deputy Prime Minister and Minister of Foreign Affairs of the State of Kuwait","Sheikh Sabah Al-Khalid Al-Hamad Al-Sabah, First Deputy Prime Minister and Minister of Foreign Affairs of the State of Kuwait",,Sheikh Sabah Al-Khalid Al-Hamad Al-Sabah,
"His Excellency Sheikh Mohammad bin Abdulrahman bin Jassim Al-Thani, Minister of Foreign Affairs of the State of Qatar","Sheikh Mohammad bin Abdulrahman bin Jassim Al-Thani, Minister of Foreign Affairs of the State of Qatar",,Sheikh Mohammad bin Abdulrahman bin Jassim Al-Thani,
Federal Antimonopoly Service of the Russian Federation,Federal Antimonopoly Service of the Russian Federation,,Federal Antimonopoly Service of the Russian Federation,
"Dr. Majed Alharbi, Director of the King Abdullah Scholarship Program of the Ministry of Higher Education of the Kingdom of Saudi Arabia","Majed Alharbi, Director of the King Abdullah Scholarship Program of the Ministry of Higher Education of the Kingdom of Saudi Arabia",,Majed Alharbi,
"His Excellency Field Marshal Sheikh Khalifa bin Ahmed Al Khalifa, Commander-in-Chief of the Bahrain Defense Force","Field Marshal Sheikh Khalifa bin Ahmed Al Khalifa, Commander-in-Chief of the Bahrain Defense Force",,Sheikh Khalifa bin Ahmed Al Khalifa,
"Mr. Assadullah Tarzi, Chief of Protocol of the Office of the Chief Executive of the Islamic Republic of Afghanistan","Assadullah Tarzi, Chief of Protocol of the Office of the Chief Executive of the Islamic Republic of Afghanistan",,Assadullah Tarzi,
"Mr. Talib al-Kinani, Commander of the Iraq Counter Terrorism Service","Talib al-Kinani, Commander of the Iraq Counter Terrorism Service",,Talib al-Kinani,
"Mr. Abdulaziz Al-Qadfan, First Secretary at the Embassy of the State of Kuwait","Abdulaziz Al-Qadfan, First Secretary at the Embassy of the State of Kuwait",,Abdulaziz Al-Qadfan,
"Mr. Saleem al-Jabouri, Speaker of the Council of Representatives of the Republic of Iraq","Saleem al-Jabouri, Speaker of the Council of Representatives of the Republic of Iraq",,Saleem al-Jabouri,
"Mr. Masood Ishan, Director General of the Islamic Republic of Pakistan","Masood Ishan, Director General of the Islamic Republic of Pakistan",,Masood Ishan,
"Major General Babagana Monguno (rtd), National Security Advisor of the Federal Republic of Nigeria","Major General Babagana Monguno (rtd), National Security Advisor of the Federal Republic of Nigeria",,Babagana Monguno (rtd),
"His Excellency and Mrs. Lee Hsien Loong, Prime Minister of the Republic of Singapore and Spouse","and Lee Hsien Loong, Prime Minister of the Republic of Singapore and Spouse",,and Lee Hsien Loong,
"Dr. Twu Shiing-jer, Mayor of Chiayi City Government, Taiwan","Twu Shiing-jer, Mayor of Chiayi City Government, Taiwan",,Twu Shiing-jer,
"His Excellency Sheikh Nasser Sabah Al-Ahmed Al-Sabah, Minister of the Emiri Diwan Affairs of the State of Qatar","Sheikh Nasser Sabah Al-Ahmed Al-Sabah, Minister of the Emiri Diwan Affairs of the State of Qatar",,Sheikh Nasser Sabah Al-Ahmed Al-Sabah,
"The Honorable Atta Muhammad Noor, Governor of Balkh Province, Islamic Republic of Afghanistan","Atta Muhammad Noor, Governor of Balkh Province, Islamic Republic of Afghanistan",,Atta Muhammad Noor,
"His Excellency François Delattre, Permanent Representative of the French Republic to the United Nations","François Delattre, Permanent Representative of the French Republic to the United Nations",,François Delattre,
"Sheikh Jafaar Sheikh Mustafa, PUK Peshmerga 70th Unit Commander of the Kurdistan Regional Government","Sheikh Jafaar Sheikh Mustafa, PUK Peshmerga 70th Unit Commander of the Kurdistan Regional Government",,Sheikh Jafaar Sheikh Mustafa,
Government of the Republic of El Salvador,Government of the Republic of El Salvador,,Government of the Republic of El Salvador,
Government of the People's Democratic Republic of Algeria,Government of the People's Democratic Republic of Algeria,,Government of the People's Democratic Republic of Algeria,
"Peking University School of Transnational Law, People's Republic of China","Peking University School of Transnational Law, People's Republic of China",,Peking University School of Transnational Law,
Ministry of Foreign Affairs of Japan,Ministry of Foreign Affairs of Japan,,Ministry of Foreign Affairs of Japan,
"Saratov State Law Academy, Saratov, Russian Federation","Saratov State Law Academy, Saratov, Russian Federation",,Saratov State Law Academy,
"Headquarters Western Command, Armed Forces of the Republic of the Philippines","Headquarters Western Command, Armed Forces of the Republic of the Philippines",,Headquarters Western Command,
"Mengueshi Temple, Republic of India","Mengueshi Temple, Republic of India",,Mengueshi Temple,
"Mr. Pierre de Villiers, Chief of Defense of the French Republic","Pierre de Villiers, Chief of Defense of the French Republic",,Pierre de Villiers,
"Mr. Ibu Nenny Gatot Nurmantyo, Chief of Defense of the Republic of Indonesia","Ibu Nenny Gatot Nurmantyo, Chief of Defense of the Republic of Indonesia",,Ibu Nenny Gatot Nurmantyo,
"His Royal Highness Salman bin Hamad bin Isa Al-Khalifa, Crown Prince of the Kingdom of Bahrain","Salman bin Hamad bin Isa Al-Khalifa, Crown Prince of the Kingdom of Bahrain",,Salman bin Hamad bin Isa Al-Khalifa,
"Mr. Mascod Azizi, Deputy Minister for Policy and Strategy of the Islamic Republic of Afghanistan","Mascod Azizi, Deputy Minister for Policy and Strategy of the Islamic Republic of Afghanistan",,Mascod Azizi,
"General Juan Pablo Rodríguez Barragán, Commander of the Colombian Military Forces","General Juan Pablo Rodríguez Barragán, Commander of the Colombian Military Forces",,Juan Pablo Rodríguez Barragán,
"Mrs. Patrícia Calderón, Spouse of the Commander of the Colombian Forces","Patrícia Calderón, Spouse of the Commander of the Colombian Forces",,Patrícia Calderón,
"Lieutenant General and Mrs. Mahmoud Hegazy, Chief of Staff of the Egyptian Armed Forces","Lieutenant General and Mahmoud Hegazy, Chief of Staff of the Egyptian Armed Forces",,and Mahmoud Hegazy,
Government of the Republic of Lebanon,Government of the Republic of Lebanon,,Government of the Republic of Lebanon,
"Mr. Iqals Shahid Iqab al-Alit, Director of the Military Intelligence and Security Service of the United Arab Emirates","Iqals Shahid Iqab al-Alit, Director of the Military Intelligence and Security Service of the United Arab Emirates",,Iqals Shahid Iqab al-Alit,
"Mr. Mohammed Ayeesh, Assistant Minister of Defense of the Kingdom of Saudi Arabia","Mohammed Ayeesh, Assistant Minister of Defense of the Kingdom of Saudi Arabia",,Mohammed Ayeesh,
"Mr. Ibu Henny Gatot Nurmantyo, Chief of Defense of the Republic of Indonesia","Ibu Henny Gatot Nurmantyo, Chief of Defense of the Republic of Indonesia",,Ibu Henny Gatot Nurmantyo,
"Lieutenant General Karl Miller, Chief of Staff of the German Air Force","Lieutenant General Karl Miller, Chief of Staff of the German Air Force",,Karl Miller,
"General Nicolae Ionel Ciuca, Chief of General Staff of Romania","General Nicolae Ionel Ciuca, Chief of General Staff of Romania",,Nicolae Ionel Ciuca,
"His Excellency Yeng Kit Chan, Permanent Secretary of Defense of the Republic of Singapore","Yeng Kit Chan, Permanent Secretary of Defense of the Republic of Singapore",,Yeng Kit Chan,
"General Kao Hua-chu, Secretary General of Taiwan National Security Council","General Kao Hua-chu, Secretary General of Taiwan National Security Council",,Kao Hua-chu,
"Lieutenant General Kim Hwang-rok, Director of the Defense Intelligence Agency of the Republic of Korea","Lieutenant General Kim Hwang-rok, Director of the Defense Intelligence Agency of the Republic of Korea",,Kim Hwang-rok,
"Lieutenant Colonel Marek Utracki, Deputy Director, Headquarters for Counterintelligence Service of the Republic of Poland","Lieutenant Colonel Marek Utracki, Deputy Director, Headquarters for Counterintelligence Service of the Republic of Poland",,Marek Utracki,
"General Salvador Cienfugos Zepeda, Secretary of National Defense of Mexico","General Salvador Cienfugos Zepeda, Secretary of National Defense of Mexico",,Salvador Cienfugos Zepeda,
"Mr. Christopher Gomart, Director of Military Reassignment, French Republic","Christopher Gomart, Director of Military Reassignment, French Republic",,Christopher Gomart,
"Major General Khalid Al-Saqally, Director of Air Force Training, Royal Saudi Air Force","Major General Khalid Al-Saqally, Director of Air Force Training, Royal Saudi Air Force",,Khalid Al-Saqally,
"Air Commodore Martin Sampson, 83 EAG Commanding Officer, Royal Air Force of the United Kingdom of Great Britain and Northern Ireland","Air Commodore Martin Sampson, 83 EAG Commanding Officer, Royal Air Force of the United Kingdom of Great Britain and Northern Ireland",,Air Commodore Martin Sampson,
"Major General Ghanim Al Ghanim, Chief of Staff of the State of Qatar","Major General Ghanim Al Ghanim, Chief of Staff of the State of Qatar",,Ghanim Al Ghanim,
"Lieutenant General Chen-Kuo, Director General of the Department of Integrated Assessment, Ministry of National Defense, Taiwan","Lieutenant General Chen-Kuo, Director General of the Department of Integrated Assessment, Ministry of National Defense, Taiwan",,Chen-Kuo,
"Ms. Elie Nour, Director of Public Relations, Embassy of the State of Qatar","Elie Nour, Director of Public Relations, Embassy of the State of Qatar",,Elie Nour,
Embassy of the Kingdom of Saudi Arabia in the United States,Embassy of the Kingdom of Saudi Arabia in the United States,,Embassy of the Kingdom of Saudi Arabia in the United States,
"Dr. Humayan Azizi, Governor of Kandahar Provincial, Islamic Republic of Afghanistan","Humayan Azizi, Governor of Kandahar Provincial, Islamic Republic of Afghanistan",,Humayan Azizi,
"Ahmed Bin Mohammed Military College, State of Qatar","Ahmed Bin Mohammed Military College, State of Qatar",,Ahmed Bin Mohammed Military College,
"His Excellency Hamad Ali Al Hanzab, Ambassador of the State of Qatar to the United States","Hamad Ali Al Hanzab, Ambassador of the State of Qatar to the United States",,Hamad Ali Al Hanzab,
"Major General Saleh Mohammed Al-Ameri, Commander, Land Forces, United Arab Emirates","Major General Saleh Mohammed Al-Ameri, Commander, Land Forces, United Arab Emirates",,Saleh Mohammed Al-Ameri,
"Mr. Pierre Fattouch, Businessman and Brother of a Member of Parliament, Republic of Lebanon","Pierre Fattouch, Businessman and Brother of a Member of Parliament, Republic of Lebanon",,Pierre Fattouch,
"Admiral Vladimir Sergeevich Vysotskiy, Retired, Commander-in-Chief of the Navy of the Russian Federation","Admiral Vladimir Sergeevich Vysotskiy, Retired, Commander-in-Chief of the Navy of the Russian Federation",,Vladimir Sergeevich Vysotskiy,
"Rear Admiral Hidetoshi Iwasaki, Commander Escort Flotilla 2, Japan Maritime Self Defense Force","Rear Admiral Hidetoshi Iwasaki, Commander Escort Flotilla 2, Japan Maritime Self Defense Force",,Hidetoshi Iwasaki,
"Comandante Eduardo Bacellar Leal Ferreira, Chief of the Brazilian Navy","Comandante Eduardo Bacellar Leal Ferreira, Chief of the Brazilian Navy",,Comandante Eduardo Bacellar Leal Ferreira,
"Commander Pendham Patdhamachinalia, Chief of Logistics, Royal Thai Marine Corps, on behalf of Read Admiral Suwatti Chiddaycha, Advisor, Royal Thai Navy","Commander Pendham Patdhamachinalia, Chief of Logistics, Royal Thai Marine Corps, on behalf of Read Admiral Suwatti Chiddaycha, Advisor, Royal Thai Navy",,Pendham Patdhamachinalia,
"His Excellency Nasser al-Sabeeh, Ambassador, Ministry of Foreign Affairs of the State of Kuwait","Nasser al-Sabeeh, Ambassador, Ministry of Foreign Affairs of the State of Kuwait",,Nasser al-Sabeeh,
Government of the Republic of Zambia,Government of the Republic of Zambia,,Government of the Republic of Zambia,
Environment Programme of the United Nations,Environment Programme of the United Nations,,Environment Programme of the United Nations,
Development Programme of the United Nations,Development Programme of the United Nations,,Development Programme of the United Nations,
"Dr. Emiko Todaka, Technical Officer, Department of Public Health, Environmental and Social Determinants of Health, World Health Organization","Emiko Todaka, Technical Officer, Department of Public Health, Environmental and Social Determinants of Health, World Health Organization",,Emiko Todaka,
Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,
Caribbean Environment Programme of the United Nations,Caribbean Environment Programme of the United Nations,,Caribbean Environment Programme of the United Nations,
"The National Institutes for Quantum and Radiological Science and Technology (QST), Japan","The National Institutes for Quantum and Radiological Science and Technology (QST), Japan",,The National Institutes for Quantum and Radiological Science and Technology (QST),
European Center for Environment and Health of the World Health Organization,European Center for Environment and Health of the World Health Organization,,European Center for Environment and Health of the World Health Organization,
Industrial Development Organization of the United Nations,Industrial Development Organization of the United Nations,,Industrial Development Organization of the United Nations,
Telecommunications Regulatory Commission of the Republic of Colombia,Telecommunications Regulatory Commission of the Republic of Colombia,,Telecommunications Regulatory Commission of the Republic of Colombia,
The Superintendence of Industry and Commerce of the Republic of Colombia,The Superintendence of Industry and Commerce of the Republic of Colombia,,The Superintendence of Industry and Commerce of the Republic of Colombia,
Delegation of the European Commission to the United States,Delegation of the European Commission to the United States,,Delegation of the European Commission to the United States,
"News and Media Research Centre, University of Canberra, Canberra, Australia","News and Media Research Centre, University of Canberra, Canberra, Australia",,News and Media Research Centre,
"Mr. Abdulla Elreyes, Director General and Under Minister, United Arab Emirates National Archives, Ministry of Presidential Affairs","Abdulla Elreyes, Director General and Under Minister, United Arab Emirates National Archives, Ministry of Presidential Affairs",,Abdulla Elreyes,
Colombian National Police,Colombian National Police,,Colombian National Police,
Colombian National Army,Colombian National Army,,Colombian National Army,
"Mr. Magnus Ryden, Deputy Director-General, Head of the Department for Trade and EU Single Market, Ministry of Foreign Affairs of the Kingdom of Sweden","Magnus Ryden, Deputy Director-General, Head of the Department for Trade and EU Single Market, Ministry of Foreign Affairs of the Kingdom of Sweden",,Magnus Ryden,
"Mr. Berj Apkarian, Honorary Counsul of the Republic of Armenia in Fresno","Berj Apkarian, Honorary Counsul of the Republic of Armenia in Fresno",,Berj Apkarian,
"Ms. Ameena Salman Al Meer, First Secretary and Deputy Chief of Mission, Consulate General of State of Qatar","Ameena Salman Al Meer, First Secretary and Deputy Chief of Mission, Consulate General of State of Qatar",,Ameena Salman Al Meer,
"Ambassador Lyu-shun Shen, Taipei Economic and Cultural Representative Office","Ambassador Lyu-shun Shen, Taipei Economic and Cultural Representative Office",,Lyu-shun Shen,
"Her Excellency Ināra Mūrniece, Speaker of the Saeima of the Republic of Latvia","Ināra Mūrniece, Speaker of the Saeima of the Republic of Latvia",,Ināra Mūrniece,
"Mr. Jan Hamáĉek, Member of Parliament, Speaker of the Chamber of Deputies of the Czech Republic","Jan Hamáĉek, Member of Parliament, Speaker of the Chamber of Deputies of the Czech Republic",,Jan Hamáĉek,
"His Excellency Rachid Talbi El Alami, President of the House of Representatives of the Kingdom of Morocco","Rachid Talbi El Alami, President of the House of Representatives of the Kingdom of Morocco",,Rachid Talbi El Alami,
"His Excellency Hakim Benchemass, President of the House of Councilors of the Kingdom of Morocco and His Excellency Chafik Rachadi, Vice President of the House of Representatives of the Kingdom of Morocco","Hakim Benchemass, President of the House of Councilors of the Kingdom of Morocco and Chafik Rachadi, Vice President of the House of Representatives of the Kingdom of Morocco",,Hakim Benchemass,
Government of the Kingdom of Sweden,Government of the Kingdom of Sweden,,Government of the Kingdom of Sweden,
"Mr. Rajnish Kumar, Secretary of the Rajghat Samadhi Committee of the Republic of India","Rajnish Kumar, Secretary of the Rajghat Samadhi Committee of the Republic of India",,Rajnish Kumar,
"His Highness Sheikh Mohammed Bin Zayed Al Nahyan, Crown Prince of Abu Dhabi","Sheikh Mohammed Bin Zayed Al Nahyan, Crown Prince of Abu Dhabi",,Sheikh Mohammed Bin Zayed Al Nahyan,
"His Royal Highness Mohammed bin Naif bin Abdulaziz Al Saud, Crown Prince, Deputy Prime Minister, and Minister of Interior of the Kingdom of Saudi Arabia","Mohammed bin Naif bin Abdulaziz Al Saud, Crown Prince, Deputy Prime Minister, and Minister of Interior of the Kingdom of Saudi Arabia",,Mohammed bin Naif bin Abdulaziz Al Saud,
"His Highness Sayyid Fahd Bin Mahmoud Al Said, Deputy Prime Minister for the Council of Ministers of the Sultanate of Oman","Sayyid Fahd Bin Mahmoud Al Said, Deputy Prime Minister for the Council of Ministers of the Sultanate of Oman",,Sayyid Fahd Bin Mahmoud Al Said,
"Dr. Saleem Al-Jabouri, Speaker of the Council of Representatives of the Republic of Iraq","Saleem Al-Jabouri, Speaker of the Council of Representatives of the Republic of Iraq",,Saleem Al-Jabouri,
"His Excellency Chum Bun Rong, Ambassador of the Kingdom of Cambodia to the United States","Chum Bun Rong, Ambassador of the Kingdom of Cambodia to the United States",,Chum Bun Rong,
"His Excellency Benigno Aquino, President of the Republic of the Philippines","Benigno Aquino, President of the Republic of the Philippines",,Benigno Aquino,
"YAB Dato' Sri Najib bin Tun Abdul Razak, Prime Minister of Malaysia","YAB Dato' Sri Najib bin Tun Abdul Razak, Prime Minister of Malaysia",,YAB Dato' Sri Najib bin Tun Abdul Razak,
"His Excellency Kadyr Toktogulov, Ambassador of the Kyrgyz Republic to the United States","Kadyr Toktogulov, Ambassador of the Kyrgyz Republic to the United States",,Kadyr Toktogulov,
His Royal Highness Prince Henry of Wales,Prince Henry of Wales,,Prince Henry of Wales,
Her Majesty Raja Isteri Pengiran Anak Haja Saleha of Brunei Darussalam,Raja Isteri Pengiran Anak Haja Saleha of Brunei Darussalam,,Raja Isteri Pengiran Anak Haja Saleha of Brunei Darussalam,
"His Excellency Joachim Guack, President of the Federal Republic of Germany","Joachim Guack, President of the Federal Republic of Germany",,Joachim Guack,
"Mrs. Sia Koroma, First Lady of the Republic of Sierra Leone","Sia Koroma, of the Republic of Sierra Leone",,Sia Koroma,
Her Highness Sheikha Moza bint Nasser Al Missned of the State of Qatar,Sheikha Moza bint Nasser Al Missned of the State of Qatar,,Sheikha Moza bint Nasser Al Missned of the State of Qatar,
"YABhg. Datin Paduka Seri Rosmah Mansor, Spouse of the Prime Minister of Malaysia","YABhg. Datin Paduka Seri Rosmah Mansor, Spouse of the Prime Minister of Malaysia",,YABhg. Datin Paduka Seri Rosmah Mansor,
"His Excellency Eng. Sami Halaseh, Minister of Public Works and Housing for the Hashemite Kingdom of Jordan","Eng. Sami Halaseh, Minister of Public Works and Housing for the Hashemite Kingdom of Jordan",,Eng. Sami Halaseh,
"His Excellency Miguel Juan Sebastián Piñera Echenique, President of the Republic of Chile","Miguel Juan Sebastián Piñera Echenique, President of the Republic of Chile",,Miguel Juan Sebastián Piñera Echenique,
"His Royal Highness Prince Mohammed bin Naif bin Abdulaziz Al Saud, Crown Prince, Deputy Prime Minister and Minister of Interior of the Kingdom of Saudi Arabia","Prince Mohammed bin Naif bin Abdulaziz Al Saud, Crown Prince, Deputy Prime Minister and Minister of Interior of the Kingdom of Saudi Arabia",,Prince Mohammed bin Naif bin Abdulaziz Al Saud,
"His Excellency Nicos Anastasiades, President of the Republic of Cyprus","Nicos Anastasiades, President of the Republic of Cyprus",,Nicos Anastasiades,
"Mrs. Ana García de Hernández, First Lady of the Republic of Honduras","Ana García de Hernández, of the Republic of Honduras",,Ana García de Hernández,
"Their Majesties King Abdullah II ibn Al Hussein and Queen Rania Al Abdullah, King and Queen of the Hashemite Kingdom of Jordan","Their Majesties King Abdullah II ibn Al Hussein and Queen Rania Al Abdullah, King and Queen of the Hashemite Kingdom of Jordan",,Their Majesties King Abdullah II ibn Al Hussein and Queen Rania Al Abdullah,
"The Honorable Major (Rtd) Joseph Nkaissery, MGH, Cabinet Secretary of the Interior of the Republic of Kenya","Major (Rtd) Joseph Nkaissery, MGH, Cabinet Secretary of the Interior of the Republic of Kenya",,(Rtd) Joseph Nkaissery,
"His Majesty Qaboos bin Said Al Said, Sultan of Oman","Qaboos bin Said Al Said, Sultan of Oman",,Qaboos bin Said Al Said,
"His Excellency Bruno Rodríguez Parrilla, Minister of Foreign Affairs of the Republic of Cuba","Bruno Rodríguez Parrilla, Minister of Foreign Affairs of the Republic of Cuba",,Bruno Rodríguez Parrilla,
"The Honorable Heraldo Muñoz, Minister of Foreign Affairs of the Republic of Chile","Heraldo Muñoz, Minister of Foreign Affairs of the Republic of Chile",,Heraldo Muñoz,
"His Excellency Jose Manuel Garcia-Margallo, Minister of Foreign Affairs and Cooperation of Spain","Jose Manuel Garcia-Margallo, Minister of Foreign Affairs and Cooperation of Spain",,Jose Manuel Garcia-Margallo,
"His Excellency Gurbanguly Berdimuhamedov, President of Turkmenistan","Gurbanguly Berdimuhamedov, President of Turkmenistan",,Gurbanguly Berdimuhamedov,
"Mr. Iurie Carp, Director of Cricova Winery of the Republic of Moldova","Iurie Carp, Director of Cricova Winery of the Republic of Moldova",,Iurie Carp,
"His Majesty Sultan Haji Hassanal Bolkiah Mu'izzaddin, Sultan and Yang Di-Pertuan of Brunei Darussalam","Sultan Haji Hassanal Bolkiah Mu'izzaddin, Sultan and Yang Di-Pertuan of Brunei Darussalam",,Sultan Haji Hassanal Bolkiah Mu'izzaddin,
"Begum Fariha Raheel, Spouse of the Chief of Army Staff of the Islamic Republic of Pakistan","Begum Fariha Raheel, Spouse of the Chief of Army Staff of the Islamic Republic of Pakistan",,Begum Fariha Raheel,
"Dr. Salem Nasser Al-Ismaily, Chairman of the Oman Center for Investment Protection and Export Development","Salem Nasser Al-Ismaily, Chairman of the Oman Center for Investment Protection and Export Development",,Salem Nasser Al-Ismaily,
"Mr. Dickson Osa Omoregie, Consultant for the Office of the Special Adviser to the President on Ethics and Values of the Federal Republic of Nigeria","Dickson Osa Omoregie, Consultant for the Office of the Special Adviser to the President on Ethics and Values of the Federal Republic of Nigeria",,Dickson Osa Omoregie,
"General Quang Tran Dai, Minister of Public Security of the Socialist Republic of Vietnam","General Quang Tran Dai, Minister of Public Security of the Socialist Republic of Vietnam",,Quang Tran Dai,
Their Royal Highnesses The Prince of Wales and The Duchess of Cornwall of the United Kingdom of Great Britain and Northern Ireland,Their Royal Highnesses The Prince of Wales and The Duchess of Cornwall of the United Kingdom of Great Britain and Northern Ireland,,Their Royal Highnesses The Prince of Wales and The Duchess of Cornwall of the United Kingdom of Great Britain and Northern Ireland,
"His Excellency Obaid Al-Tayer, Minister of State for Financial Affairs of the United Arab Emirates","Obaid Al-Tayer, Minister of State for Financial Affairs of the United Arab Emirates",,Obaid Al-Tayer,
"Their Majesties King Willem-Alexander and Queen Maxima, King and Queen of the Netherlands","Their Majesties King Willem-Alexander and Queen Maxima, King and Queen of the Netherlands",,Their Majesties King Willem-Alexander and Queen Maxima,
"Mr. Mattar al-Obaidani, Air Vice Marshal of the Royal Air Force of the Sultanate of Oman","Mattar al-Obaidani, Air Vice Marshal of the Royal Air Force of the Sultanate of Oman",,Mattar al-Obaidani,
"His Excellency Sheikh Rashid Al Khalifa, Minister of Interior of the Kingdom of Bahrain","Sheikh Rashid Al Khalifa, Minister of Interior of the Kingdom of Bahrain",,Sheikh Rashid Al Khalifa,
"Lieutenant General Sayyid Munthir Majid Said Al Said, Head of the Omani Royal Office Liaison and Coordination Service","Lieutenant General Sayyid Munthir Majid Said Al Said, Head of the Omani Royal Office Liaison and Coordination Service",,Sayyid Munthir Majid Said Al Said,
"The Honorable Hady Mawlud, Governor of the Erbil Province","Hady Mawlud, Governor of the Erbil Province",,Hady Mawlud,
"Mr. Nouri Bousahmein, President of the Tripoli-Based General National Congress of Libya","Nouri Bousahmein, President of the Tripoli-Based General National Congress of Libya",,Nouri Bousahmein,
Her Majesty Raja Isteri Pengiran Anak Haijah Saleha of Brunei Darussalam,Raja Isteri Pengiran Anak Haijah Saleha of Brunei Darussalam,,Raja Isteri Pengiran Anak Haijah Saleha of Brunei Darussalam,
"Dr. Seyeed Abbas Araghchi, Deputy Foreign Minister for Legal and International Affairs of the Islamic Republic of Iran","Seyeed Abbas Araghchi, Deputy Foreign Minister for Legal and International Affairs of the Islamic Republic of Iran",,Seyeed Abbas Araghchi,
"His Excellency Hekmat Khalil Karzai, Deputy Minister of Foreign Affairs of the Islamic Republic of Afghanistan","Hekmat Khalil Karzai, Deputy Minister of Foreign Affairs of the Islamic Republic of Afghanistan",,Hekmat Khalil Karzai,
Government of Turkmenistan,Government of Turkmenistan,,Government of Turkmenistan,
"Dr. Georg Heindl, Consul General of Austria to the United States","Georg Heindl, Consul General of Austria to the United States",,Georg Heindl,
Government of the Kingdom of Morocco,Government of the Kingdom of Morocco,,Government of the Kingdom of Morocco,
"The Honorable Chief Justice Itsuro Terada, Supreme Court of Japan","Chief Justice Itsuro Terada, Supreme Court of Japan",,Chief Justice Itsuro Terada,
Supreme Court of Appeals of the Republic of South Africa,Supreme Court of Appeals of the Republic of South Africa,,Supreme Court of Appeals of the Republic of South Africa,
Supreme Court of Justice of Mexico,Supreme Court of Justice of Mexico,,Supreme Court of Justice of Mexico,
World Trade Organization,World Trade Organization,,World Trade Organization,
Ministry of Education of the French Republic,Ministry of Education of the French Republic,,Ministry of Education of the French Republic,
Patent Office of Japan,Patent Office of Japan,,Patent Office of Japan,
Court of Appeals of the Republic of Uganda,Court of Appeals of the Republic of Uganda,,Court of Appeals of the Republic of Uganda,
Supreme Court of the Republic of Korea,Supreme Court of the Republic of Korea,,Supreme Court of the Republic of Korea,
Supreme Court of the Kingdom of Thailand,Supreme Court of the Kingdom of Thailand,,Supreme Court of the Kingdom of Thailand,
"The Research Institute for Development, Growth, and Economics, Oriental Republic of Uruguay","The Research Institute for Development, Growth, and Economics, Oriental Republic of Uruguay",,The Research Institute for Development,
"Lieutenant General Cho Bo Gun, Director of the Defense Intelligence Agency of the Republic of Korea","Lieutenant General Cho Bo Gun, Director of the Defense Intelligence Agency of the Republic of Korea",,Cho Bo Gun,
